state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct,Dose1_diff,Dose2_diff
AK,2021,1,0.08768468468468467,0.8363873873873873,0.0759099099099099,0.014579279279279276,0.09603603603603604,0.0509009009009009,0.10315315315315313,0.1324324324324324,0.2837837837837837,0.0,0.0,0.0,0.0,0.0
AK,2021,2,0.06714084507042252,0.8375774647887325,0.09530985915492957,0.09314647887323947,0.09549295774647887,0.04084507042253521,0.10661971830985917,0.14422535211267604,0.20408450704225356,11.389285714285714,0.0,0.0,11.389285714285714,0.0
AK,2021,3,0.05905333333333334,0.8526533333333334,0.0883066666666667,0.08108933333333332,0.10426666666666667,0.02093333333333333,0.13626666666666667,0.13813333333333333,0.2534666666666667,28.47741935483871,16.345161290322586,0.0,17.088133640552996,16.345161290322586
AK,2021,4,0.0756969696969697,0.7902727272727273,0.134030303030303,0.1354878787878788,0.2793939393939394,0.0596969696969697,0.07666666666666666,0.1906060606060606,0.1809090909090909,38.42333333333333,29.69333333333333,0.0,9.945913978494623,13.348172043010745
AK,2021,5,0.06616129032258065,0.8216129032258063,0.1122258064516129,0.0692741935483871,0.03225806451612903,0.059032258064516126,0.1396774193548387,0.19774193548387092,0.2806451612903226,43.9258064516129,37.66129032258065,0.0,5.502473118279568,7.967956989247316
AK,2021,6,0.10732142857142857,0.7856071428571428,0.10707142857142858,-0.16026071428571428,0.05714285714285715,0.021428571428571432,0.035,0.20428571428571424,0.3967857142857144,47.473333333333336,41.13333333333335,0.0,3.5475268817204366,3.4720430107526994
AK,2021,7,0.10534285714285717,0.7852857142857143,0.10938571428571432,-0.010984285714285712,0.16371428571428573,0.018714285714285715,0.11971428571428573,0.157,0.24,50.564516129032256,44.68709677419354,0.0,3.09118279569892,3.5537634408601946
AK,2021,8,0.0829922480620155,0.8601162790697675,0.05688372093023256,-0.04157209302325579,0.08372093023255814,0.04565891472868217,0.1013953488372093,0.22100775193798444,0.2068217054263566,52.79032258064517,46.319354838709685,0.0,2.225806451612911,1.6322580645161437
AK,2021,9,0.11692857142857145,0.7966964285714283,0.08637500000000001,-0.05995267857142859,0.06571428571428571,0.051607142857142865,0.103125,0.21116071428571428,0.20205357142857144,55.99,48.77999999999999,0.0,3.1996774193548347,2.4606451612903015
AK,2021,10,0.07761627906976745,0.7913023255813955,0.13111627906976744,0.08580465116279068,0.1336046511627907,0.04197674418604652,0.1383720930232558,0.1977906976744186,0.20895348837209304,58.364516129032246,51.66774193548388,4.458064516129033,2.3745161290322443,2.887741935483895
AK,2021,11,0.034888888888888886,0.8859814814814813,0.07912962962962962,0.09751481481481483,0.08851851851851852,0.04166666666666666,0.07555555555555556,0.12611111111111112,0.22296296296296295,61.08333333333334,53.49333333333333,21.226666666666667,2.7188172043010965,1.8255913978494505
AK,2021,12,0.049222222222222216,0.8416,0.1092,0.08741111111111112,0.15711111111111112,0.06488888888888887,0.14311111111111113,0.12444444444444445,0.22133333333333333,64.18064516129031,55.58064516129032,31.13548387096775,3.097311827956972,2.087311827956988
AK,2022,1,0.06276666666666668,0.8573666666666667,0.07969999999999998,-0.00943,0.11300000000000003,0.051,0.04966666666666667,0.25433333333333336,0.19733333333333336,66.42903225806452,57.34193548387096,37.370967741935495,2.2483870967742092,1.761290322580642
