state,Year,Month,Week,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
AK,2021,1,1,0.08026315789473683,0.8720000000000001,0.04773684210526316,-0.04965263157894736,0.11368421052631579,0.05263157894736842,0.07421052631578948,0.21052631578947367,0.07473684210526316,0.0,0.0,0.0
AK,2021,1,2,0.07012499999999999,0.85565625,0.07418749999999999,0.025209374999999985,0.052812500000000005,0.0096875,0.0796875,0.07906250000000001,0.403125,0.0,0.0,0.0
AK,2021,1,3,0.06744444444444445,0.8093888888888888,0.12322222222222225,0.13560000000000003,0.1388888888888889,0.09111111111111111,0.22055555555555556,0.10833333333333334,0.21777777777777776,0.0,0.0,0.0
AK,2021,1,4,0.10725806451612904,0.8285161290322581,0.06416129032258065,-0.04082903225806451,0.1390322580645161,0.07516129032258065,0.0532258064516129,0.14677419354838708,0.2632258064516129,0.0,0.0,0.0
AK,2021,1,53,0.12954545454545452,0.7851818181818182,0.08527272727272726,0.052718181818181824,0.0,0.03363636363636364,0.16999999999999998,0.15181818181818182,0.4636363636363636,0.0,0.0,0.0
AK,2021,2,5,0.05188000000000001,0.8694,0.07876,0.06972800000000001,0.07,0.0332,0.1336,0.0932,0.2692,0.0,0.0,0.0
AK,2021,2,6,0.017636363636363627,0.887,0.09536363636363636,0.2172090909090909,0.18181818181818182,0.09090909090909091,0.018181818181818184,0.18454545454545457,0.16090909090909092,4.857142857142857,0.0,0.0
AK,2021,2,7,0.1154375,0.847375,0.0371875,-0.0971125,0.03125,0.040625,0.15625,0.090625,0.11875,18.914285714285715,0.0,0.0
AK,2021,2,8,0.07521052631578946,0.758842105263158,0.166,0.2123526315789474,0.13315789473684211,0.02210526315789474,0.08052631578947367,0.2331578947368421,0.21526315789473682,21.785714285714285,0.0,0.0
AK,2021,3,9,0.061000000000000006,0.8522307692307692,0.08676923076923078,0.08887692307692309,0.03076923076923077,0.0,0.24615384615384617,0.2076923076923077,0.2076923076923077,23.714285714285715,6.457142857142857,0.0
AK,2021,3,10,0.06511538461538462,0.8465,0.08838461538461538,0.07900769230769232,0.11615384615384615,0.03230769230769231,0.11846153846153847,0.12269230769230771,0.26384615384615384,26.171428571428574,16.714285714285715,0.0
AK,2021,3,11,0.04355,0.8314,0.12505,0.14244,0.195,0.0365,0.05950000000000001,0.14850000000000002,0.21000000000000002,29.328571428571426,18.957142857142856,0.0
AK,2021,3,12,0.051875,0.89375,0.0545,0.1410875,0.0625,0.0,0.14625,0.15625,0.26,32.4,20.771428571428572,0.0
AK,2021,3,13,0.082125,0.885375,0.0325,-0.138175,0.0,0.0,0.1975,0.03125,0.39625,33.833333333333336,22.133333333333336,0.0
AK,2021,4,13,0.0434,0.8438000000000001,0.11280000000000001,0.24054000000000003,0.266,0.132,0.2,0.066,0.134,34.675,23.25,0.0
AK,2021,4,14,0.12039999999999998,0.8028000000000001,0.07680000000000001,0.056599999999999984,0.266,0.132,0.08,0.346,0.17400000000000002,36.042857142857144,25.599999999999998,0.0
AK,2021,4,15,0.04399999999999998,0.8880909090909092,0.0679090909090909,0.0795090909090909,0.06818181818181818,0.05909090909090909,0.06363636363636363,0.26727272727272733,0.36,38.800000000000004,30.642857142857142,0.0
AK,2021,4,16,0.13277777777777777,0.6873333333333335,0.17988888888888888,0.04476666666666667,0.3488888888888889,0.0,0.04777777777777778,0.14333333333333334,0.015555555555555557,40.457142857142856,33.10000000000001,0.0
AK,2021,4,17,0.0,0.6303333333333333,0.36966666666666664,0.5693,0.89,0.0,0.0,0.0,0.11,41.38,34.480000000000004,0.0
AK,2021,5,17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.150000000000006,35.9,0.0
AK,2021,5,18,0.059777777777777784,0.812111111111111,0.12811111111111112,0.1485,0.0,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.6666666666666666,42.442857142857136,36.357142857142854,0.0
AK,2021,5,19,0.028300000000000002,0.8454,0.12630000000000002,0.18775,0.1,0.15,0.1,0.2,0.15,43.271428571428565,37.39999999999999,0.0
AK,2021,5,20,0.18939999999999999,0.6702,0.1404,-0.163,0.0,0.0,0.2,0.3,0.1,44.51428571428571,38.199999999999996,0.0
AK,2021,5,21,0.04716666666666667,0.8926666666666666,0.06016666666666667,-0.04191666666666668,0.0,0.0,0.16666666666666666,0.3833333333333333,0.11666666666666665,45.65714285714285,38.957142857142856,0.0
AK,2021,6,22,0.0,0.71275,0.28725,0.257675,0.25,0.0,0.0,0.0,0.0,46.43333333333334,39.650000000000006,0.0
