state,Year,Month,neg,neu,pos,compound,Happy,Angry,Surprise,Sad,Fear,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Additional_Doses_Vax_Pct
AK,2021,1,0.08768468468468466,0.8363873873873873,0.0759099099099099,0.014579279279279274,0.09603603603603605,0.0509009009009009,0.10315315315315313,0.1324324324324324,0.28378378378378366,0.0,0.0,0.0
AK,2021,2,0.06714084507042253,0.8375774647887325,0.09530985915492955,0.09314647887323949,0.09549295774647888,0.04084507042253521,0.10661971830985915,0.14422535211267604,0.20408450704225353,11.389285714285716,0.0,0.0
AK,2021,3,0.05905333333333334,0.8526533333333334,0.0883066666666667,0.08108933333333333,0.10426666666666669,0.020933333333333335,0.13626666666666667,0.13813333333333333,0.2534666666666667,28.477419354838712,16.345161290322583,0.0
AK,2021,4,0.0756969696969697,0.7902727272727273,0.134030303030303,0.1354878787878788,0.2793939393939394,0.0596969696969697,0.07666666666666666,0.1906060606060606,0.1809090909090909,38.423333333333325,29.693333333333335,0.0
AK,2021,5,0.06616129032258065,0.8216129032258063,0.1122258064516129,0.0692741935483871,0.03225806451612903,0.05903225806451613,0.1396774193548387,0.19774193548387095,0.2806451612903226,43.92580645161291,37.66129032258065,0.0
AK,2021,6,0.10732142857142857,0.7856071428571428,0.10707142857142858,-0.16026071428571428,0.05714285714285715,0.021428571428571432,0.034999999999999996,0.20428571428571426,0.39678571428571435,47.47333333333334,41.13333333333334,0.0
AK,2021,7,0.10534285714285715,0.7852857142857143,0.10938571428571431,-0.010984285714285712,0.16371428571428573,0.018714285714285715,0.11971428571428573,0.157,0.24000000000000002,50.564516129032256,44.68709677419355,0.0
AK,2021,8,0.0829922480620155,0.8601162790697675,0.05688372093023256,-0.04157209302325579,0.08372093023255814,0.045658914728682165,0.1013953488372093,0.22100775193798444,0.2068217054263566,52.79032258064517,46.319354838709685,0.0
AK,2021,9,0.11692857142857145,0.7966964285714283,0.08637500000000001,-0.059952678571428594,0.06571428571428571,0.05160714285714286,0.103125,0.21116071428571428,0.20205357142857142,55.99,48.77999999999999,0.0
AK,2021,10,0.07761627906976745,0.7913023255813955,0.13111627906976744,0.08580465116279068,0.1336046511627907,0.041976744186046515,0.1383720930232558,0.1977906976744186,0.20895348837209302,58.36451612903225,51.667741935483875,4.458064516129033
AK,2021,11,0.03488888888888889,0.8859814814814813,0.07912962962962962,0.09751481481481482,0.08851851851851852,0.041666666666666664,0.07555555555555556,0.12611111111111112,0.22296296296296297,61.083333333333336,53.493333333333325,21.226666666666667
AK,2021,12,0.049222222222222216,0.8416,0.10919999999999999,0.08741111111111112,0.15711111111111112,0.06488888888888888,0.14311111111111113,0.12444444444444445,0.22133333333333335,64.18064516129031,55.58064516129032,31.135483870967747
AK,2022,1,0.06276666666666667,0.8573666666666667,0.07969999999999998,-0.00943,0.11300000000000002,0.051000000000000004,0.04966666666666667,0.25433333333333336,0.19733333333333336,66.42903225806452,57.34193548387097,37.370967741935495
AK,2022,2,0.07819999999999998,0.8188000000000001,0.10279999999999997,0.1302,0.162,0.0,0.072,0.2,0.166,68.23571428571428,60.2,40.525
AK,2022,3,0.06955,0.8218,0.10874999999999999,0.019319999999999997,0.185,0.0915,0.028500000000000004,0.13499999999999998,0.20950000000000002,68.93870967741937,61.400000000000006,41.79032258064514
AK,2022,4,0.10852631578947365,0.789421052631579,0.10205263157894737,0.05641052631578945,0.2026315789473684,0.032105263157894734,0.16,0.1431578947368421,0.25105263157894736,69.54666666666668,62.003333333333345,42.823333333333316
AK,2022,5,0.023642857142857143,0.8432142857142858,0.13307142857142856,0.29922142857142847,0.17500000000000002,0.0,0.10785714285714286,0.062142857142857146,0.22642857142857142,69.89032258064518,62.522580645161305,43.670967741935485
AK,2022,6,0.025909090909090902,0.9168181818181819,0.05722727272727271,0.09041818181818183,0.06318181818181817,0.06818181818181818,0.17045454545454544,0.1272727272727273,0.2072727272727273,70.17777777777776,62.79999999999998,44.3888888888889
AK,2022,7,0.025874999999999995,0.8431249999999999,0.13112499999999996,0.31178125,0.13375,0.046875,0.15625,0.2225,0.315,70.95,62.875,46.275000000000006
AK,2022,8,0.0891,0.8833,0.02749999999999999,-0.07665,0.125,0.125,0.025,0.1,0.125,71.34,63.21999999999999,46.879999999999995
AK,2022,9,0.04699999999999997,0.9122500000000001,0.040749999999999995,0.0343,0.02125,0.02125,0.14625,0.06625,0.37125,71.65,63.5,47.24999999999999
AK,2022,10,0.027000000000000003,0.973,0.0,-0.1806,0.0,0.0,0.22999999999999998,0.145,0.63,71.95,64.4,47.75
AK,2022,11,0.12533333333333332,0.7223333333333333,0.15233333333333335,-0.2421333333333333,0.06666666666666667,0.10666666666666667,0.12666666666666668,0.2833333333333333,0.08333333333333333,72.35,64.69999999999999,48.375
AL,2021,1,0.07017806041335457,0.8127774244833069,0.11704451510333864,0.09901224165341808,0.11449920508744038,0.030779014308426066,0.1475993640699523,0.15079491255961847,0.250779014308426,0.0,0.0,0.0
AL,2021,2,0.058875717017208444,0.8501663479923516,0.09094455066921606,0.0904984703632887,0.10973231357552578,0.02982791586998088,0.13537284894837479,0.15133843212237094,0.23864244741873802,6.546428571428572,0.0,0.0
AL,2021,3,0.05927345309381236,0.849816367265469,0.09090019960079838,0.07299201596806382,0.09770459081836325,0.04752495009980039,0.11864271457085822,0.1526946107784431,0.2618962075848304,18.087096774193547,9.374193548387096,0.0
AL,2021,4,0.048951298701298655,0.8656785714285719,0.0853733766233766,0.08123636363636365,0.08081168831168829,0.030064935064935065,0.12327922077922075,0.13058441558441558,0.22896103896103895,28.996666666666666,18.313333333333336,0.0
AL,2021,5,0.05017727272727274,0.8523772727272722,0.0974409090909091,0.07808227272727268,0.09490909090909092,0.03795454545454546,0.13104545454545455,0.12259090909090906,0.24054545454545456,34.51290322580645,27.0258064516129,0.0
AL,2021,6,0.07279012345679012,0.8607407407407406,0.06643827160493826,0.01897160493827161,0.08765432098765433,0.02641975308641975,0.1267901234567901,0.12450617283950614,0.2269753086419753,37.763333333333335,30.85333333333332,0.0
AL,2021,7,0.06483098591549295,0.8474169014084502,0.08775211267605636,0.041218591549295774,0.08687323943661972,0.028535211267605637,0.10152112676056334,0.18898591549295768,0.23895774647887333,41.20967741935485,33.545161290322575,0.0
AL,2021,8,0.0730063897763579,0.8414233226837065,0.08557667731629395,0.0357138977635783,0.11012779552715653,0.04837060702875397,0.1135623003194888,0.1794888178913738,0.22845047923322678,46.62580645161292,35.83548387096776,0.0
AL,2021,9,0.09038652482269499,0.8068049645390074,0.10279787234042558,0.04792304964539006,0.11840425531914894,0.039929078014184397,0.11801418439716307,0.1523404255319149,0.269468085106383,51.46333333333333,40.65333333333332,0.0
